排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
180,内内,火箭,7.5,2.90-4.50,0.636,0.00-0.10,0.0,1.70-2.40,0.7170000000000001,22,15.0
183,马里奥-查默斯,灰熊,7.4,2.50-7.20,0.35,0.80-3.10,0.247,1.60-2.00,0.787,30,23.5
183,斯坦利-约翰逊,活塞,7.4,2.50-7.00,0.36,1.00-3.40,0.295,1.30-1.70,0.7709999999999999,28,27.9
185,OG-阿奴诺比,猛龙,7.2,2.60-5.20,0.507,1.40-3.00,0.465,0.60-0.90,0.64,29,21.0
186,雅各布-珀尔特尔,猛龙,7.1,3.20-4.70,0.6759999999999999,0.00-0.10,0.5,0.70-1.40,0.5,29,17.0
187,斯卡尔-拉比西埃,国王,7.0,2.80-6.40,0.433,0.10-0.30,0.4,1.30-1.60,0.804,29,15.8
188,韦斯利-约翰逊,快船,6.9,2.60-6.40,0.408,0.90-3.00,0.28600000000000003,0.80-1.10,0.71,28,24.5
188,尼克-杨,勇士,6.9,2.40-5.30,0.455,1.50-3.70,0.41100000000000003,0.60-0.80,0.667,29,13.5
188,欧米-卡斯比,勇士,6.9,2.70-4.40,0.605,0.30-0.60,0.6,1.20-1.60,0.75,27,16.0
188,大卫-韦斯特,勇士,6.9,3.00-4.80,0.638,0.10-0.20,0.429,0.70-1.10,0.677,29,13.1
188,泰森-钱德勒,太阳,6.9,2.70-4.20,0.65,0.00-0.00,0.0,1.50-2.20,0.66,24,25.4
188,梅森-普拉姆利,掘金,6.9,2.90-5.10,0.5660000000000001,0.00-0.00,0.0,1.10-2.70,0.39799999999999996,31,19.6
194,卢克-理查德-巴莫特,火箭,6.8,2.50-5.50,0.45799999999999996,1.00-2.80,0.373,0.80-1.10,0.667,24,25.3
194,卢克-巴比特,老鹰,6.8,2.40-5.20,0.469,1.50-3.30,0.441,0.50-0.70,0.737,28,18.0
194,贾莱特-杰克,尼克斯,6.8,2.80-6.40,0.433,0.40-1.20,0.314,0.80-1.00,0.759,28,26.3
194,马利斯-斯贝茨,魔术,6.8,2.40-6.50,0.369,1.60-4.30,0.364,0.40-0.70,0.625,23,11.8
194,兰斯顿-加洛韦,活塞,6.8,2.30-5.60,0.405,1.50-3.90,0.386,0.70-0.80,0.87,29,14.4
194,蒙特雷兹-哈勒尔,快船,6.8,2.80-4.40,0.642,0.00-0.00,0.0,1.20-1.70,0.6829999999999999,24,12.0
194,TJ-麦康奈尔,76人,6.8,3.00-5.60,0.532,0.40-0.70,0.556,0.50-0.60,0.813,25,24.0
201,布林-福布斯,马刺,6.7,2.60-6.10,0.426,1.20-3.00,0.392,0.30-0.60,0.45,32,19.3
201,雷蒙德-费尔顿,雷霆,6.7,2.70-6.60,0.419,0.80-2.30,0.371,0.30-0.50,0.688,31,16.7
203,约迪-米克斯,奇才,6.6,2.00-5.70,0.354,0.90-3.00,0.304,1.60-1.80,0.895,31,16.8
203,帕斯卡尔-西亚卡姆,猛龙,6.6,3.00-6.20,0.47700000000000004,0.30-2.00,0.158,0.30-0.90,0.375,28,20.0
203,肯尼思-法里德,掘金,6.6,2.70-4.80,0.5539999999999999,0.00-0.00,0.0,1.30-1.80,0.711,25,16.0
203,德章泰-默里,马刺,6.6,2.60-6.20,0.415,0.10-0.40,0.25,1.30-1.80,0.75,32,18.4
203,詹姆斯-恩尼斯,灰熊,6.6,2.40-4.80,0.493,0.60-2.00,0.316,1.20-1.40,0.878,29,24.1
203,贾斯蒂斯-温斯洛,热火,6.6,2.70-6.30,0.426,0.60-1.50,0.39,0.60-1.00,0.654,27,22.6
209,安德鲁-哈里森,灰熊,6.5,2.10-5.30,0.39799999999999996,0.70-2.10,0.34600000000000003,1.50-1.80,0.826,25,18.9
209,凯尔-奥奎因,尼克斯,6.5,2.60-4.60,0.5770000000000001,0.00-0.20,0.0,1.20-1.50,0.7829999999999999,30,16.6
209,埃德里斯-阿德巴约,热火,6.5,2.40-4.00,0.598,0.00-0.00,0.0,1.70-2.40,0.731,22,18.3
212,PJ-塔克,火箭,6.4,2.10-5.10,0.405,1.30-3.50,0.368,0.90-1.20,0.8,30,27.6
